                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8649,                 11.294,                  3.289,                0.00149,                0.44595,                0.02294,                0.01372,                 3.4992,                 8.1083,                 2.8342,               0.070789,              0.0032456,              0.0032456
                      2,                 3.5279,                 6.8554,                 3.1166,                0.00194,                0.58108,                 0.0623,                0.02262,                 4.2406,                 8.3371,                 2.9368,               0.040464,              0.0062533,              0.0062533
                      3,                 3.6407,                 6.0906,                 3.0642,                0.35769,                0.18919,                0.16088,                0.05079,                 3.9987,                 5.9484,                 3.1054,              0.0098082,               0.008931,               0.008931
                      4,                 3.6994,                 5.4696,                 3.0153,                0.26718,                0.21622,                0.16962,                0.06042,                 4.2311,                 5.7548,                 3.3742,               0.008515,               0.008515,               0.008515
                      5,                 3.6951,                 5.1053,                 2.8887,                0.16332,                0.17568,                0.10779,                0.04211,                 4.2832,                 5.9272,                 3.2264,                0.00802,                0.00802,                0.00802
                      6,                 3.6377,                 4.6617,                 2.9168,                0.41135,                0.03378,                0.08549,                0.03238,                 4.8885,                 6.9767,                 4.0052,               0.007525,               0.007525,               0.007525
                      7,                  3.589,                 4.3653,                 2.8974,                0.30877,                0.37729,                0.25775,                 0.0932,                 3.9087,                 4.5448,                 3.1578,                0.00703,                0.00703,                0.00703
                      8,                 3.4719,                 4.1332,                 2.8365,                0.27472,                   0.25,                0.20414,                0.07658,                   4.07,                 4.9199,                  3.137,               0.006535,               0.006535,               0.006535
                      9,                 3.5363,                 3.8211,                 2.8338,                0.42871,                0.58784,                0.48404,                0.20275,                 3.6791,                 3.6387,                 3.0142,                0.00604,                0.00604,                0.00604
                     10,                 3.4936,                 3.5751,                 2.7303,                0.30926,                0.35091,                0.27449,                 0.1126,                 3.8273,                 4.4199,                 3.1313,               0.005545,               0.005545,               0.005545
                     11,                 3.3931,                 3.6497,                 2.7391,                0.35218,                0.16216,                0.12956,                0.05411,                 4.6484,                 6.9712,                 4.0919,                0.00505,                0.00505,                0.00505
                     12,                 3.3084,                 3.4793,                 2.7499,                0.42479,                0.47297,                0.42682,                0.18994,                 3.5975,                 3.6293,                 2.9105,               0.004555,               0.004555,               0.004555
                     13,                 3.1836,                 3.1746,                 2.6391,                0.58729,                0.62162,                0.61399,                0.28332,                 3.4178,                 2.9036,                  2.821,                0.00406,                0.00406,                0.00406
                     14,                 3.2384,                 3.2014,                 2.6698,                0.41949,                0.72973,                0.53948,                0.26652,                  3.296,                 2.9329,                 2.7151,               0.003565,               0.003565,               0.003565
                     15,                 3.1219,                  3.078,                 2.6544,                0.49689,                0.62162,                0.60141,                0.27908,                 3.2357,                 2.8328,                 2.6707,                0.00307,                0.00307,                0.00307
                     16,                 3.1431,                 2.8542,                 2.5813,                0.52797,                0.57432,                 0.5862,                0.27447,                 3.3554,                 2.9323,                 2.7405,               0.002575,               0.002575,               0.002575
                     17,                 3.0505,                 2.7689,                 2.5784,                0.53287,                0.75536,                0.70601,                 0.3537,                   3.16,                 2.4451,                 2.5955,                0.00208,                0.00208,                0.00208
                     18,                 2.9704,                 2.7317,                 2.5626,                0.68966,                0.57061,                0.68597,                0.35547,                 3.0171,                 2.4655,                 2.5768,               0.001585,               0.001585,               0.001585
                     19,                 2.9375,                 2.5299,                 2.5019,                0.66155,                0.67568,                0.75146,                0.38245,                 3.1277,                 2.1795,                 2.5593,                0.00109,                0.00109,                0.00109
                     20,                 2.9122,                 2.4765,                 2.4592,                   0.65,                0.80405,                0.76108,                0.38753,                 3.0017,                 2.1775,                 2.5259,               0.000595,               0.000595,               0.000595
